disc_level,finding,count,total,proportion,ci_lower_95,ci_upper_95
L1-L2,disc_bulge,42,100,0.42,0.3279840012757012,0.517934935261638
L1-L2,disc_protrusion,24,100,0.24,0.1669133820153621,0.3323231617309908
L1-L2,disc_extrusion,6,100,0.06,0.02778616586033001,0.12476798509503648
L1-L2,canal_stenosis_binary,40,100,0.4,0.30940145684466425,0.49799721382701
L1-L2,facet_arthrosis,26,100,0.26,0.1840471177825886,0.3537096918294295
L2-L3,disc_bulge,50,100,0.5,0.4038317186407454,0.5961682813592546
L2-L3,disc_protrusion,28,100,0.28,0.20139699155955024,0.374880083918133
L2-L3,disc_extrusion,8,100,0.08,0.04109351591663818,0.14998090090439345
L2-L3,canal_stenosis_binary,55,100,0.55,0.4524462246528468,0.6438544400113163
L2-L3,facet_arthrosis,26,100,0.26,0.1840471177825886,0.3537096918294295
L3-L4,disc_bulge,75,100,0.75,0.656955566782793,0.8245477565380216
L3-L4,disc_protrusion,34,100,0.34,0.25461536429971277,0.43722250877496605
L3-L4,disc_extrusion,8,100,0.08,0.04109351591663818,0.14998090090439345
L3-L4,canal_stenosis_binary,59,100,0.59,0.49201449911400663,0.6813266972814865
L3-L4,facet_arthrosis,32,100,0.32,0.2366916242765712,0.41662598293244235
L4-L5,disc_bulge,81,100,0.81,0.7222117439031445,0.8748523770146656
L4-L5,disc_protrusion,53,100,0.53,0.43288876201967813,0.6248916367788195
L4-L5,disc_extrusion,15,100,0.15,0.09305994365936965,0.23283540369149003
L4-L5,canal_stenosis_binary,76,100,0.76,0.6676768382690093,0.8330866179846379
L4-L5,facet_arthrosis,40,100,0.4,0.30940145684466425,0.49799721382701
L5-S1,disc_bulge,87,100,0.87,0.790196674179919,0.9224282443348865
L5-S1,disc_protrusion,53,100,0.53,0.43288876201967813,0.6248916367788195
L5-S1,disc_extrusion,16,100,0.16,0.10095298018803638,0.24420250009565586
L5-S1,canal_stenosis_binary,87,100,0.87,0.790196674179919,0.9224282443348865
L5-S1,facet_arthrosis,60,100,0.6,0.50200278617299,0.6905985431553358
