disc_level,finding,count,total,percentage,ci_lower_95,ci_upper_95,ci_format
L1-L2,disc_bulge,12,195,6.153846153846154,3.5549601986642463,10.446870985679103,6.2% (3.6%–10.5%)
L1-L2,disc_protrusion,6,195,3.076923076923077,1.4176593760948233,6.549212593114727,3.1% (1.4%–6.6%)
L1-L2,disc_extrusion,5,195,2.564102564102564,1.1000957839126306,5.860949649441285,2.6% (1.1%–5.9%)
L1-L2,canal_stenosis,6,195,3.076923076923077,1.4176593760948233,6.549212593114727,3.1% (1.4%–6.6%)
L1-L2,facet_arthrosis,0,195,0.0,0.0,1.9319127540757504,0.0% (0.0%–1.9%)
L1-L2,ligamentum_flavum,0,195,0.0,0.0,1.9319127540757504,0.0% (0.0%–1.9%)
L1-L2,osteophytes,1,195,0.5128205128205128,0.09058310221100943,2.8471561877203744,0.5% (0.1%–2.9%)
L2-L3,disc_bulge,37,195,18.974358974358974,14.090985351541963,25.05650922919222,19.0% (14.1%–25.1%)
L2-L3,disc_protrusion,3,195,1.5384615384615385,0.5245723314966706,4.4248200301459795,1.5% (0.5%–4.4%)
L2-L3,disc_extrusion,5,195,2.564102564102564,1.1000957839126306,5.860949649441285,2.6% (1.1%–5.9%)
L2-L3,canal_stenosis,23,195,11.794871794871794,7.989418647855487,17.076504430899828,11.8% (8.0%–17.1%)
L2-L3,facet_arthrosis,1,195,0.5128205128205128,0.09058310221100943,2.8471561877203744,0.5% (0.1%–2.9%)
L2-L3,ligamentum_flavum,3,195,1.5384615384615385,0.5245723314966706,4.4248200301459795,1.5% (0.5%–4.4%)
L2-L3,osteophytes,1,195,0.5128205128205128,0.09058310221100943,2.8471561877203744,0.5% (0.1%–2.9%)
L3-L4,disc_bulge,66,195,33.84615384615385,27.57386054852251,40.74260357202505,33.9% (27.6%–40.8%)
L3-L4,disc_protrusion,4,195,2.051282051282051,0.8005264944563013,5.154692403041983,2.1% (0.8%–5.2%)
L3-L4,disc_extrusion,10,195,5.128205128205128,2.8090776318446724,9.18110048078741,5.1% (2.8%–9.2%)
L3-L4,canal_stenosis,39,195,20.0,14.989716056542493,26.16943159590296,20.0% (15.0%–26.2%)
L3-L4,facet_arthrosis,1,195,0.5128205128205128,0.09058310221100943,2.8471561877203744,0.5% (0.1%–2.9%)
L3-L4,ligamentum_flavum,8,195,4.102564102564102,2.0932533456752096,7.885271695245606,4.1% (2.1%–7.9%)
L3-L4,osteophytes,1,195,0.5128205128205128,0.09058310221100943,2.8471561877203744,0.5% (0.1%–2.9%)
L4-L5,disc_bulge,120,195,61.53846153846154,54.5497938868992,68.08130316985255,61.6% (54.6%–68.1%)
L4-L5,disc_protrusion,11,195,5.641025641025641,3.1787221055281125,9.817282542959607,5.6% (3.2%–9.8%)
L4-L5,disc_extrusion,22,195,11.282051282051283,7.56950914805572,16.490587394843963,11.3% (7.6%–16.5%)
L4-L5,canal_stenosis,52,195,26.666666666666668,20.95442517699758,33.280467441571105,26.7% (21.0%–33.3%)
L4-L5,facet_arthrosis,7,195,3.5897435897435894,1.7495588225738812,7.2231396824913014,3.6% (1.8%–7.2%)
L4-L5,ligamentum_flavum,18,195,9.230769230769232,5.918728307155903,14.11806209232125,9.2% (5.9%–14.1%)
L4-L5,osteophytes,4,195,2.051282051282051,0.8005264944563013,5.154692403041983,2.1% (0.8%–5.2%)
L5-S1,disc_bulge,55,195,28.205128205128204,22.357358033436643,34.895014192698945,28.2% (22.4%–34.9%)
L5-S1,disc_protrusion,15,195,7.6923076923076925,4.71679618867666,12.30251460323359,7.7% (4.7%–12.3%)
L5-S1,disc_extrusion,18,195,9.230769230769232,5.918728307155903,14.11806209232125,9.2% (5.9%–14.1%)
L5-S1,canal_stenosis,8,195,4.102564102564102,2.0932533456752096,7.885271695245606,4.1% (2.1%–7.9%)
L5-S1,facet_arthrosis,1,195,0.5128205128205128,0.09058310221100943,2.8471561877203744,0.5% (0.1%–2.9%)
L5-S1,ligamentum_flavum,4,195,2.051282051282051,0.8005264944563013,5.154692403041983,2.1% (0.8%–5.2%)
L5-S1,osteophytes,2,195,1.0256410256410255,0.28172051885982163,3.6618453069271952,1.0% (0.3%–3.7%)
