Index,Year,First Author,Title,Venue,PDF Status,PDF File,Size_KB,Source
1,2001,Pfirrmann,Magnetic Resonance Classification of Lumbar Intervertebral Disc Degeneration,Spine,Summary & Abstract PDF,01_2001_Pfirrmann_Magnetic_Resonance_Classification_of_Lumbar_Intervertebral_D.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
2,2007,Griffith,Modified Pfirrmann Grading System for Lumbar Intervertebral Disc Degeneration,Spine,Summary & Abstract PDF,02_2007_Griffith_Modified_Pfirrmann_Grading_System_for_Lumbar_Intervertebral_.pdf,4.2,Summary & Abstract PDF (Paywalled Reference)
3,2008,Lurie,Reliability of Readings of Magnetic Resonance Imaging Features of Lumbar Spinal Stenosis,Spine,Summary & Abstract PDF,03_2008_Lurie_Reliability_of_Readings_of_Magnetic_Resonance_Imaging_Featur.pdf,3.7,Generated Summary & Abstract PDF (Paywalled)
4,2010,Lee,A Practical MRI Grading System for Lumbar Foraminal Stenosis,AJR American Journal of Roentgenology,Summary & Abstract PDF,04_2010_Lee_A_Practical_MRI_Grading_System_for_Lumbar_Foraminal_Stenosis.pdf,4.3,Summary & Abstract PDF (Paywalled Reference)
5,2010,Schizas,Qualitative Grading of Severity of Lumbar Spinal Stenosis Based on the Morphology of the Dural Sac on Magnetic Resonance Images,Spine,Summary & Abstract PDF,05_2010_Schizas_Qualitative_Grading_of_Severity_of_Lumbar_Spinal_Stenosis_Ba.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
6,2011,Lee,A New Grading System of Lumbar Central Canal Stenosis on MRI: An Easy and Reliable Method,Skeletal Radiology,Summary & Abstract PDF,06_2011_Lee_A_New_Grading_System_of_Lumbar_Central_Canal_Stenosis_on_MRI.pdf,4.2,Summary & Abstract PDF (Paywalled Reference)
7,2012,Mamisch,Radiologic Criteria for the Diagnosis of Spinal Stenosis: Results of a Delphi Survey,Radiology,Summary & Abstract PDF,07_2012_Mamisch_Radiologic_Criteria_for_the_Diagnosis_of_Spinal_Stenosis_Res.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
8,2014,Andreisek,Consensus Conference on Core Radiological Parameters to Describe Lumbar Stenosis—An Initiative for Structured Reporting,European Radiology,Summary & Abstract PDF,08_2014_Andreisek_Consensus_Conference_on_Core_Radiological_Parameters_to_Desc.pdf,3.7,Generated Summary & Abstract PDF (Paywalled)
9,2023,Compte,Are Current Machine Learning Applications Comparable to Radiologist Classification of Degenerate and Herniated Discs and Modic Change? A Systematic Review and Meta-Analysis,European Spine Journal,Summary & Abstract PDF,09_2023_Compte_Are_Current_Machine_Learning_Applications_Comparable_to_Radi.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
10,2024,Wang,Machine Learning and Deep Learning for Diagnosis of Lumbar Spinal Stenosis: Systematic Review and Meta-Analysis,Journal of Medical Internet Research,Summary & Abstract PDF,10_2024_Wang_Machine_Learning_and_Deep_Learning_for_Diagnosis_of_Lumbar_S.pdf,5.3,Generated Summary & Abstract PDF (Paywalled)
11,2024,Wang,Deep Learning Assisted Segmentation of the Lumbar Intervertebral Disc: A Systematic Review and Meta-Analysis,Journal of Orthopaedic Surgery and Research,Summary & Abstract PDF,11_2024_Wang_Deep_Learning_Assisted_Segmentation_of_the_Lumbar_Interverte.pdf,3.6,Generated Summary & Abstract PDF (Paywalled)
12,2024,Lee,Artificial Intelligence in Spinal Imaging and Patient Care,Review article,Full Paper PDF,12_2024_Lee_Artificial_Intelligence_in_Spinal_Imaging_and_Patient_Care.pdf,974.8,Full Paper PDF (Open Access / Preprint)
13,2024,Zhang,A State-of-the-Art Survey of Deep Learning for Lumbar Spine Image Analysis,Survey article,Full Paper PDF,13_2024_Zhang_A_State-of-the-Art_Survey_of_Deep_Learning_for_Lumbar_Spine_.pdf,421.3,Full Paper PDF (Open Access / Preprint)
14,2025,Liawrungrueang,Artificial Intelligence-Assisted MRI Diagnosis in Lumbar Degenerative Disc Disease: A Systematic Review,Global Spine Journal,Summary & Abstract PDF,14_2025_Liawrungrueang_Artificial_Intelligence-Assisted_MRI_Diagnosis_in_Lumbar_Deg.pdf,4.5,Generated Summary & Abstract PDF (Paywalled)
15,2025,Zhao,Advances and Challenges in AI-Assisted MRI for Lumbar Disc Degeneration Detection and Classification,European Spine Journal,Summary & Abstract PDF,15_2025_Zhao_Advances_and_Challenges_in_AI-Assisted_MRI_for_Lumbar_Disc_D.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
16,2025,Esposito,MRI-Based Grading Systems for Assessing Lumbar Disc Degeneration: A Scoping Review,Scoping review,Summary & Abstract PDF,16_2025_Esposito_MRI-Based_Grading_Systems_for_Assessing_Lumbar_Disc_Degenera.pdf,4.7,Generated Summary & Abstract PDF (Paywalled)
17,2026,Mendes,Deep Learning for Lumbar Spine Segmentation in Magnetic Resonance Imaging: Systematic Review,Biomedical Signal Processing and Control,Summary & Abstract PDF,17_2026_Mendes_Deep_Learning_for_Lumbar_Spine_Segmentation_in_Magnetic_Reso.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
18,2012,Ghosh,A New Approach to Automatic Disc Localization in Clinical Lumbar MRI: Combining Machine Learning with Heuristics,IEEE ISBI,Summary & Abstract PDF,18_2012_Ghosh_A_New_Approach_to_Automatic_Disc_Localization_in_Clinical_Lu.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
19,2014,Ghosh,Supervised Methods for Detection and Segmentation of Tissues in Clinical Lumbar MRI,Computerized Medical Imaging and Graphics,Summary & Abstract PDF,19_2014_Ghosh_Supervised_Methods_for_Detection_and_Segmentation_of_Tissues.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
20,2015,Ruiz-España,Semiautomatic Computer-Aided Classification of Degenerative Lumbar Spine Disease in Magnetic Resonance Imaging,Computers in Biology and Medicine,Summary & Abstract PDF,20_2015_Ruiz-España_Semiautomatic_Computer-Aided_Classification_of_Degenerative_.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
21,2016,He,Automated Diagnosis of Neural Foraminal Stenosis Using Synchronized Superpixels Representation,MICCAI,Summary & Abstract PDF,21_2016_He_Automated_Diagnosis_of_Neural_Foraminal_Stenosis_Using_Synch.pdf,3.4,Generated Summary & Abstract PDF (Paywalled)
22,2019,Huber,Qualitative versus Quantitative Lumbar Spinal Stenosis Grading by Machine Learning Supported Texture Analysis—Experience from the LSOS Study Cohort,European Journal of Radiology,Summary & Abstract PDF,22_2019_Huber_Qualitative_versus_Quantitative_Lumbar_Spinal_Stenosis_Gradi.pdf,3.7,Generated Summary & Abstract PDF (Paywalled)
23,2017,Jamaludin,SpineNet: Automated Classification and Evidence Visualization in Spinal MRIs,Medical Image Analysis,Summary & Abstract PDF,23_2017_Jamaludin_SpineNet_Automated_Classification_and_Evidence_Visualization.pdf,3.5,Generated Summary & Abstract PDF (Paywalled)
24,2017,Jamaludin,Self-Supervised Learning for Spinal MRIs,Research preprint,Summary & Abstract PDF,24_2017_Jamaludin_Self-Supervised_Learning_for_Spinal_MRIs.pdf,3.3,Generated Summary & Abstract PDF (Paywalled)
